task_id,action_summary,why_needed,destination,required_docs,steps_short,steps_detail,office_hours,address,phone,done_condition,faq
RN-D14-20,故人が遺言書を残していないか、自宅・銀行の貸金庫・法務局・公証役場を確認する。自筆証書遺言（法務局保管以外）は絶対に開封しないこと。,遺言書がある場合はその内容に基づいて相続手続きが進みます。無視して分割するとトラブルの原因になります。,故人の自宅／法務局／公証役場,確認時：特になし／照会時：本人確認書類、戸籍謄本等,1. 故人の自宅を探す（仏壇・金庫・書斎・タンス）\n2. 法務局で保管の有無を確認する（800円）\n3. 公証役場の遺言検索システムで公正証書遺言を確認する\n4. 自筆遺言が見つかったら絶対に開封せず家庭裁判所で検認する,1. 銀行の貸金庫も確認してください。\n2. 最寄りの法務局で「遺言書保管事実証明書」を請求してください（郵送請求も可能です）。\n3. 戸籍謄本と本人確認書類を持参して照会してください。\n4. 法務局保管・公正証書の場合は検認不要でそのまま使えます。遺言書がなければ遺産分割協議（RN-M3-11）へ。,法務局・公証役場：平日 8:30-17:15,,,遺言書の有無が確認済み。ある場合は検認手続き（必要時）に着手済み。,Q.見つけた遺言書を開けてしまった→開封しても遺言書は無効にはなりませんが、過料の対象になることがあります。速やかに家裁で検認してください\nQ.遺言書がなかったら→法定相続分に基づいて遺産分割協議を行います\nQ.遺言書の内容に納得できない→遺留分侵害額請求（期限1年）が可能です
RN-D14-23,故人が会社の健康保険（社保）に加入していて、その扶養に入っていた方は、国民健康保険への加入またはご自身の勤務先の保険への切り替えが必要。,故人の社保資格喪失に伴い、扶養家族の資格もなくなります。手続きしないと無保険状態になります。,国保：市区町村役場／ご自身の勤務先,故人の保険証（または資格喪失証明書）、被扶養者の本人確認書類、印鑑,1. 14日以内に切り替えないと無保険状態になることを確認する\n2. 自分の勤務先の社保に加入する場合は総務に連絡する\n3. 国保に加入する場合は役場に資格喪失証明書を持参する\n4. 任意継続（最長2年）を選ぶ場合は国保と保険料を比較して決める,1. 故人の社保の扶養に入っていた方全員が対象です。\n2. お子さんも一緒に扶養に入れられます。\n3. 資格喪失証明書は故人の勤務先から入手。持ち物：資格喪失証明書・本人確認書類・印鑑。\n4. 任意継続は20日以内に申し込みが必要です。保険料が全額自己負担になるため高くなることが多いです。\n切り替え前に病院にかかったら、後日新保険証を提示すれば差額返金されます。,平日 8:30-17:15（役場）,,,被扶養者全員の保険切り替えが完了し、新しい保険証を取得済み。,Q.切り替え前に病院にかかったら→後から精算できます。新しい保険証を後日病院に提出してください\nQ.国保と任意継続どちらがお得？→保険料を比較してください。故人の給与が高かった場合は国保の方が安いことが多いです\nQ.子どもの保険は？→国保に加入するか、もう一方の親の社保の扶養に入れてください
RN-D14-24,配偶者が亡くなり、高校卒業までのお子さんがいる場合、児童扶養手当（月額最大45500円）やひとり親関連の給付を確認・申請する。,申請月の翌月分から支給されるため、早めの申請が有利です。,市区町村役場,請求者と子の戸籍謄本、住民票、所得証明書、振込先口座、年金手帳、印鑑,1. 配偶者死亡＆18歳以下の子がいる場合が対象であることを確認する\n2. 役場に電話して「児童扶養手当の申請を相談したい」と伝える\n3. 必要書類を揃えて窓口で申請する\n4. ひとり親医療費助成・就学援助・住宅手当も確認する,1. 全部支給で月額45500円（子1人。最新額は役場にご確認ください）所得制限があります。\n2. 市区町村役場に電話してください。必要書類を案内してもらえます。\n3. 主な持ち物：戸籍謄本・住民票・所得証明書・振込先口座・印鑑。\n4. 児童手当の受給者変更も忘れずに行ってください。遺族年金と併給の場合は差額が支給されます。,平日 8:30-17:15,,,受給資格確認済み。該当する場合は申請提出済み。,Q.いくらもらえる？→全部支給で月45500円（2024年11月〜。最新額は役場にご確認ください）\nQ.所得制限はある？→全部支給は年収約160万円以下が目安です\nQ.遺族年金と両方もらえる？→遺族年金の額が児童扶養手当より少なければ差額が支給されます
RN-D14-27,故人がiDeCo（個人型確定拠出年金）や企業型確定拠出年金（企業型DC）に加入していた場合、遺族が「死亡一時金」を請求できる。請求しないと5年で権利が消滅し国庫に帰属する。,数十万〜数百万円の資産が請求漏れで国庫に帰属するケースが実際に発生しています。公的年金（RN-D14-06〜08）とは別の制度なので、忘れずに確認してください。,iDeCo：加入していた金融機関（運営管理機関）／企業型DC：故人の勤務先,死亡診断書コピー、届出人の本人確認書類、戸籍謄本、届出人の振込先口座,1. 故人がiDeCo・企業型DCに加入していたか確認する\n2. iDeCo→運営管理機関に電話して「加入者死亡による一時金請求をしたい」と伝える\n3. 企業型DC→故人の勤務先の総務に連絡する\n4. 請求書類を取り寄せ、記入・返送する,1. 確認方法：\n・故人の勤務先に聞く\n・通帳の引落し記録で「国民年金基金連合会」の記載を探す\n・故人宛の郵便物で運営管理機関からの通知を探す\n2. 運営管理機関がわからない場合は、国民年金基金連合会（03-5411-6129）に「加入者が亡くなりました。運営管理機関を教えてほしい」と問い合わせてください。\n3. 企業型DCは勤務先の総務/人事が手続きを案内してくれます。故人の勤務先届出（RN-D7-14）と一緒に確認するとスムーズです。\n4. 審査後1〜2か月で振込されます。受取人の順位は配偶者→子→父母→孫→祖父母→兄弟姉妹です。,国民年金基金連合会：平日 9:00-17:00,,国民年金基金連合会：03-5411-6129,加入の有無を確認済み。加入していた場合は請求書を提出済み。,Q.加入しているかわからない→勤務先に聞くか、通帳で「国民年金基金連合会」の引落しを探してください\nQ.いくらもらえる？→加入期間と運用状況によります。運営管理機関に残高を確認してください\nQ.公的年金の手続きとは別？→はい。遺族年金（RN-D14-08）や未支給年金（RN-D14-07）とはまったく別の手続きです\nQ.請求期限は？→5年です。期限を過ぎると国庫に帰属し、取り戻せません
RN-D14-28,故人が「契約者」として保険料を払い、被保険者が配偶者や子など別の家族になっている生命保険・医療保険がないか確認する。口座凍結で保険料の引落しが止まると、家族の保険が失効するおそれがある。,故人の死亡保険金の請求（RN-D14-11）とは別に、故人が保険料を払っていた家族の保険が存在する場合があります。口座凍結で引落しが止まり、気づかないうちに保険が失効すると取り返しがつきません。,各保険会社のカスタマーセンター／共済窓口,保険証券、届出人の本人確認書類、死亡確認書類,1. 故人名義の保険証券をすべて確認する\n2. 「契約者＝故人、被保険者＝家族」の保険がないか探す\n3. 該当する保険があれば保険会社に連絡して契約者変更をする\n4. 保険料の支払い方法を変更する,1. 保険証券の「契約者」「被保険者」「受取人」の欄を確認してください。通帳の引落し記録も手がかりになります。\n2. よくあるパターン：夫が契約者で妻が被保険者の医療保険、親が契約者で子が被保険者の学資保険・生命保険です。\n3. 「契約者が亡くなりました。契約者変更の手続きをしたい」と伝えてください。被保険者または保険金受取人が新しい契約者になるのが一般的です。\n4. 口座凍結で引落しが止まっても、多くの保険会社は一定期間（1〜3か月）は失効を猶予します。\nただし猶予期間を過ぎると失効するため、早めの手続きを強くおすすめします。,各社による（多くは平日9:00-17:00）,,,「契約者＝故人、被保険者＝家族」の保険の有無を確認済み。該当する場合は契約者変更・支払い方法変更が完了。,Q.どうやって見つける？→保険証券の「契約者」と「被保険者」が違う人になっている保険を探してください\nQ.失効したらどうなる？→保障がなくなります。復活できる場合もありますが、健康状態の審査が必要になることがあります\nQ.学資保険も対象？→はい。契約者が故人で被保険者がお子さんの学資保険は、契約者変更が必要です。払込免除特約がついている場合もあるので保険会社に確認してください
RN-M3-01,故人の財産（プラス）と負債（マイナス）を把握した上で、相続するか放棄するかを判断する。放棄する場合は3か月以内に家庭裁判所に申し立てが必要。,期限を過ぎると自動的に「単純承認」（負債も全て相続）になります。,管轄の家庭裁判所,相続放棄申述書、故人の戸籍謄本、住民票の除票、申述人の戸籍謄本、収入印紙800円、郵便切手,1. プラスの財産とマイナスの財産を把握する\n2. プラスが多い場合は何もしなくて大丈夫です（単純承認）\n3. マイナスが多い/不明な場合は相続放棄を検討する\n4. 放棄する場合は家庭裁判所に申述書を提出する\n5. 判断がつかない場合は期間伸長の申し立てをする,1. 財産目録（RN-M3-07）と負債調査（RN-M3-02）を並行して進めてください。\n2. —\n3.【重要】期限は相続開始を知った日から3か月以内です。超えると自動的にすべて相続することになります。\n4. 管轄の家庭裁判所に相談してください。必要物：申述書・故人の戸籍謄本・住民票の除票・申述人の戸籍謄本・収入印紙800円・切手。\n5. 期限前に家裁に申し立てれば3か月延長が認められることがあります。,平日 8:30-17:00,,,相続の方針が決定。放棄する場合は家裁に申述済み。,Q.3か月で判断できない→家庭裁判所に期間伸長の申し立てができます\nQ.放棄するとどうなる？→最初から相続人でなかった扱いになります。財産も負債も一切引き継ぎません\nQ.一部だけ放棄できる？→できません。全部承認か全部放棄の二択です
RN-M3-02,故人の借金・保証債務・連帯債務を調査し、負債の全体像を把握する。信用情報機関への開示請求で確認可能。,相続すると負債も引き継ぎます。相続放棄の判断（3か月以内）に間に合うよう早めに調べてください。\n【信用情報の照会】CIC・JICC・全国銀行個人信用情報センター(KSC) の3機関に開示請求すれば、故人のクレジットカード・ローン・キャッシング・保証債務の履歴を確認できます (郵送・各1500円程度)。,信用情報機関（CIC・JICC・KSC）、故人の自宅,戸籍謄本、届出者の本人確認書類、死亡確認書類,1. 自宅で借用書・ローン契約書・督促状を探す\n2. 通帳の引落し記録からローンを確認する\n3. 信用情報機関3か所に開示請求する\n4. 結果をリスト化する,1. —\n2. 「○○ファイナンス」「○○カード」等の記載があれば借入の可能性があります。\n3. CIC（0570-666-414）\nJICC（0570-021-717）\nKSC（03-3214-5020）\n各約1000円、郵送も可能です。「相続人として故人の信用情報の開示請求をしたい」と伝える。\n必要物：戸籍謄本・本人確認書類・死亡確認書類。\n4. 個人間の貸借・連帯保証は信用情報に載りません。契約書で確認が必要です。,各機関による,,CIC：0570-666-414／JICC：0570-021-717／KSC：03-3214-5020,負債の全体像が把握されリスト化されている。,Q.相続人でも信用情報の開示請求はできる？→はい。戸籍謄本等があれば請求できます\nQ.連帯保証人の確認方法は？→信用情報で一部判明します。個人間の保証は記載されないため契約書で確認が必要です\nQ.開示請求の費用は？→1機関あたり約1000円です
RN-M3-03,故人の出生から死亡までの連続した戸籍謄本と、相続人全員の戸籍謄本・印鑑証明書を集める。ほぼすべての相続手続きで必要な基本書類。,出生から死亡までの連続した戸籍で法定相続人が確定します。銀行・法務局・税務署などあらゆる場面で必要です。,故人の本籍地の役場／広域交付制度で最寄り役場も可,請求者の本人確認書類、印鑑、手数料（1通450〜750円）,1. 故人の出生〜死亡までの連続した戸籍謄本を取得する\n2. 相続人全員の現在の戸籍謄本を取得する\n3. 相続人全員の印鑑証明書を2〜3通ずつ取得する,1. 本籍地は住民票の除票で確認できます。\n取得方法：本籍地の役場（直接/郵送）、または広域交付制度で最寄りの役場でも可（2024年3月〜）。\n手数料：1通450〜750円。\n2. 各相続人が自分の本籍地の役場で取得してください。\n3. 住所地の役場またはコンビニ（マイナンバーカードがあれば）で取得してください。,平日 8:30-17:15,,,故人の連続した戸籍と相続人全員の戸籍・印鑑証明書がすべて揃っている。,Q.広域交付とは？→2024年3月から本籍地以外の役場でも戸籍が取得できるようになりました\nQ.何通ずつ必要？→手続きごとに1セット提出するのが一般的です。返却後に使い回す場合は受取人に確認してください\nQ.本籍地が遠方→郵送請求ができます。広域交付制度の活用も検討してください
RN-M3-04,故人名義の住宅ローンや借入金について借入先に届け出る。団体信用生命保険（団信）に加入していれば、保険金でローンが完済される。,団信に加入していれば残債がゼロになります。届出が遅れると遅延損害金が発生するリスクがあります。,借入先の金融機関,死亡診断書コピー、届出人の本人確認書類、戸籍謄本、ローン契約書,1. 借入先の金融機関に電話して届出する\n2. 団体信用生命保険（団信）の加入有無を確認する\n3. 団信加入→保険金でローン完済の手続きをする\n4. 団信未加入→返済引継ぎ or 相続放棄を検討する,1. 「借入人が亡くなりました。届出をしたい」と伝えてください。届出が遅れると遅延損害金のリスクがあります。\n2. これが最も重要な確認事項です。住宅ローンの場合ほぼ加入しています。\n3. 金融機関の案内に従い保険金を請求してください。残債全額が返済されます。\n4. —,各金融機関による,,,住宅ローン・借入金の届出完了、団信の適用有無確認済み。,Q.団信に入っているかわからない→住宅ローン契約時にほぼ加入しています。借入先に確認してください\nQ.団信で残債がゼロになる？→はい。残債全額が保険金で返済されます\nQ.連帯債務の場合→故人の分のみ団信で完済されます。もう一方の債務は残ります
RN-M3-07,故人のプラスの財産（預貯金・不動産・株式・保険等）とマイナスの財産（ローン・借金・未払い税金等）をすべてリスト化して「財産目録」を作成する。,遺産分割協議、相続税申告、相続放棄の判断など、すべての相続手続きの土台になる最も重要な書類です。\n【含めるべきもの】(プラス財産) 預貯金・株式・投資信託・暗号資産・不動産・車・貴金属・ゴルフ会員権・生命保険金・退職金 / (マイナス財産) 住宅ローン・カードローン・保証債務・税金未納・医療費未払・葬式費用・損害賠償金。,,通帳、証券書類、登記簿、固定資産税通知書、保険証券、借用書、ローン契約書等,1. プラスの財産をリスト化する（預貯金・不動産・有価証券・保険・自動車等）\n2. マイナスの財産をリスト化する（ローン・借入金・未払い税金・医療費等）\n3. 各財産の評価額を確認する（死亡日時点）\n4. 一覧表にまとめて相続人全員に共有する,1. 預金→銀行に残高証明書を請求してください。不動産→役場で固定資産評価証明書を取得してください。株式→証券会社に残高証明書を請求してください（評価は死亡日の終値です）。\n2. —\n3. 農地の評価は固定資産税評価額と相続税評価額が異なります。税理士に相談をおすすめします。\n4. 遺産分割協議（RN-M3-11）・相続税申告・相続放棄判断のすべての土台になります。,,,,相続財産目録が完成し、相続人全員に共有されている。,Q.評価額の調べ方は？→預金は残高証明書、不動産は固定資産評価証明書、株式は死亡日の終値です\nQ.財産の所在がわからない→通帳・郵便物・確定申告書から手がかりを探してください\nQ.農地の評価は？→固定資産税評価額と相続税評価額は異なります。税理士に相談をおすすめします
RN-M3-11,相続人全員で遺産の分け方を話し合い、合意した内容を「遺産分割協議書」にまとめる。全員の署名・実印・印鑑証明書が必要。,不動産の名義変更、銀行口座の解約・払戻し、相続税申告で必要な重要書類です。,,相続財産目録（RN-M3-07）、戸籍・印鑑証明書（RN-M3-03）、各相続人の実印,1. 財産目録をもとに分け方を全員で話し合う\n2. 全員合意→遺産分割協議書を作成する\n3. 全員が署名＋実印を押印＋印鑑証明書を添付する\n4. 人数分の部数を作成する,1. 法定相続分を参考にしつつ、合意があれば自由な割合で分けられます。\n2. 記載内容：被相続人の情報・全相続人の氏名・各財産の取得者（具体的に記載）。\n3. 認印では銀行等の手続きで受付できません。必ず実印を使ってください。\n遠方の相続人は郵送リレー方式で対応できます（書留で追跡番号を共有してください）。\n4. まとまらない場合は家庭裁判所の遺産分割調停または弁護士に相談してください。,,,,協議書が完成し、全相続人の署名・実印・印鑑証明書が揃っている。,Q.相続人が遠方にいる→郵送で順番に署名・押印していくリレー方式が一般的です\nQ.まとまらない場合→家庭裁判所の遺産分割調停を利用するか、弁護士に相談してください\nQ.自分で作成できる？→可能ですが、不動産がある場合は司法書士への依頼をおすすめします
RN-M4-01,故人の1月1日から死亡日までの所得について、相続人が代わりに確定申告（「準確定申告」）を行う。,一定の所得がある場合、4か月以内に申告する義務があります。申告しないと加算税・延滞税のリスクがあります。,管轄の税務署,源泉徴収票、確定申告関連書類（医療費領収書・保険料控除証明書等）、本人確認書類、「確定申告書付表」,1. 準確定申告が必要か判断する\n2. 必要な場合→源泉徴収票・領収書等を集める\n3. 確定申告書と「付表」を作成し相続人全員が署名\n4. 管轄の税務署に提出する（郵送可）,1. 年金400万円以下＆他の所得20万円以下→原則不要です。事業/不動産所得がある場合は必要です。判断できなければ管轄の税務署に電話で確認してください。\n2. 所得計算期間は1月1日〜死亡日です。\n3. 国税庁Web「確定申告書等作成コーナー」で作成できます。\n4. 管轄の税務署に提出してください。不動産/事業所得がある場合は税理士への依頼をおすすめします。,平日 8:30-17:00,,,要否判定済み。必要な場合は申告書提出済み。,Q.年金収入だけの場合→年金400万円以下で他の所得20万円以下なら原則不要です。ただし医療費控除で還付を受けられる場合は申告がお得です\nQ.自分でできる？→単純なケースなら可能です。不動産・事業所得がある場合は税理士をおすすめします\nQ.期限を過ぎたら→期限後申告は可能ですが、加算税・延滞税がかかることがあります
RN-M10-01,相続財産の総額が基礎控除額（3000万円＋600万円×相続人の数）を超えるか確認する。超える場合は10か月以内に相続税の申告・納付が必要。,基礎控除を超える場合のみ課税されます。特例を使って税額ゼロでも、申告は必要です。\n【基礎控除額】3000万円 + 600万円 × 法定相続人数。例:配偶者+子1人なら4200万円、子2人なら4800万円。\n【期限】相続を知った日の翌日から10か月以内。期限後申告は加算税・延滞税の対象。,管轄の税務署,相続財産目録（RN-M3-07）、不動産評価書類、残高証明書等,1. 基礎控除額を計算する（3000万＋600万×相続人数）\n2. 財産総額 ≦ 基礎控除→申告不要\n3. 財産総額 ＞ 基礎控除→申告が必要\n4. 税理士への依頼を検討する,1. 例）相続人2人→4200万円、3人→4800万円。\n2. —\n3. 特例で税額ゼロでも申告は必要です。期限は死亡日から10か月以内です。\n4. 費用目安：遺産総額の0.5〜1%です。管轄の税務署に相談してください。農地には「納税猶予の特例」がある場合があります。,平日 8:30-17:00,,,要否判定済み。必要な場合は税理士に依頼済みまたは準備中。,Q.相続人2人の場合の非課税枠は？→4200万円までは非課税です\nQ.税理士の費用は？→遺産総額の0.5〜1%が目安です\nQ.農地に特別な制度はある？→農業相続人には「納税猶予の特例」があります
RN-M10-05,遺産分割協議の確定後、故人名義の銀行口座を解約して預金を受け取る。,口座凍結後の預金は遺産分割協議書等を提出しないと引き出せません。,各銀行の窓口,遺産分割協議書/遺言書、戸籍謄本一式/法定相続情報一覧図、相続人全員の印鑑証明書、本人確認書類、通帳・カード、銀行所定の相続届出書,1. 各銀行から相続届出書を取り寄せる\n2. 必要書類を揃える\n3. 銀行窓口で手続きし払戻し先口座を指定,1. 遺産分割協議（RN-M3-11）確定後に手続き可能です。\n2. 主な必要物：銀行所定の届出書（全員の署名・実印）・遺産分割協議書・戸籍一式 or 法定相続情報一覧図・印鑑証明書・本人確認書類・通帳/カード。\n3. 処理に1〜3週間。法定相続情報一覧図があれば複数行を並行して進められます。,平日 9:00-15:00（窓口）,,,全銀行口座の解約・払戻し完了、相続人口座に振込済み。,Q.遺産分割前に一部引き出せる？→「相続預金の払戻し制度」で各口座残高×1/3×法定相続分（上限150万円）まで引き出せます\nQ.通帳を紛失した→通帳なしで手続きできます\nQ.銀行ごとに個別手続き？→はい。法定相続情報一覧図があると効率的です\nQ.戸籍謄本とは？\n→故人の家族関係（配偶者・子供など）を証明する公的書類です。\nQ.「出生から死亡まで」の戸籍はなぜ必要？\n→相続人が誰なのかを正式に確認するためです。婚姻・離婚・養子縁組などで戸籍が変わるため、すべての変遷をたどる必要があります。\nQ.戸籍はどこで取れる？\n→故人の本籍地の市区町村役場で取得できます。本籍地が複数回変わっている場合は、それぞれの自治体から取り寄せが必要です。郵送請求も可能です。\nQ.戸籍の広域交付制度とは？\n→令和6年（2024年）3月から、最寄りの市区町村窓口で他の自治体の戸籍もまとめて取得できるようになりました。ただし一部対応していない自治体もあるため、事前に電話確認をおすすめします。\nQ.戸籍の取得費用は？\n→戸籍謄本は1通450円、除籍謄本・改製原戸籍は1通750円です。本籍地の変更回数が多いと、合計で数千円〜2万円程度かかることがあります。\nQ.「原戸籍」「除籍謄本」とは？\n→「改製原戸籍（かいせいはらこせき）」は法改正前の古い形式の戸籍です。「除籍謄本」は全員が転籍・死亡などで抜けた戸籍です。どちらも「出生から死亡まで」をたどる際に必要になることがあります。\nQ.戸籍の取り寄せを専門家に頼める？\n→司法書士や行政書士に依頼すれば、職権で戸籍を一括取得してもらえます。費用は数万円程度ですが、自分で複数の自治体に郵送請求する手間と時間を大幅に削減できます。
RN-M10-07,故人名義の自動車の名義変更（移転登録）または廃車（抹消登録）を行う。故人名義のままでは車検更新や売却ができない。,故人名義のままだと車検更新も売却もできません。自動車税の納付義務も残ります。,普通車：管轄の運輸支局／軽：軽自動車検査協会,車検証、故人の戸籍謄本、遺産分割協議書、相続人の印鑑証明書・車庫証明書・委任状,1. 車検証で故人名義を確認する\n2. 使い続ける場合→名義変更する、手放す場合→廃車 or 売却する\n3. 普通車→管轄の運輸支局、軽→軽自動車検査協会\n4. 自動車保険の名義変更も忘れずに行う,1. 所有者がディーラー/ローン会社の場合は先に所有権解除が必要です。\n2. 売却する場合はまず名義変更が必要です。\n3. 管轄の運輸支局（平日対応）。必要物：車検証・戸籍謄本・遺産分割協議書・印鑑証明書・車庫証明書。代行はディーラー/行政書士に依頼可（1〜3万円）。\n4. 自動車保険は契約先の保険会社に連絡してください。,平日 8:45-16:00（運輸支局）,,,名義変更/廃車手続きが完了。,Q.売却したい→まず名義変更してから売却してください\nQ.自動車税は？→名義変更すると新しい所有者に課税されます。廃車は月割で還付されます\nQ.手続きを代行してほしい→ディーラーや行政書士に依頼できます（1〜3万円程度）
RN-Y3-01,故人名義の土地・建物の名義を相続人に変更する「相続登記」を法務局に申請する。固定資産評価証明書は市区町村役場で取得できます。,2024年4月から義務化されました。「相続発生と不動産取得を知った日から3年以内」が起算日で、申請しないと10万円以下の過料の対象になります。登記しないと売却も担保設定もできません。,最寄りの法務局,登記申請書、戸籍謄本一式/法定相続情報一覧図、遺産分割協議書/遺言書、印鑑証明書、固定資産評価証明書、住民票、登録免許税（評価額の0.4%）,1. 固定資産評価証明書を役場で取得する\n2. 登記申請書を作成する（法務局Webに記載例あり）\n3. 必要書類を揃え、登録免許税（評価額×0.4%）を計算する\n4. 法務局に申請する（窓口 or 郵送）\n5. 登記識別情報通知を受け取り安全に保管する,1. 約300円です。\n2. —\n3. 必要物：\n・申請書\n・戸籍一式 or 法定相続情報一覧図\n・遺産分割協議書\n・印鑑証明書\n・新所有者の住民票\n・固定資産評価証明書\n登録免許税は収入印紙で納付します。\n4. 最寄りの法務局に申請してください。1〜2週間で完了します。郵送申請も可能です。法務局の「登記手続案内」（予約制・無料）で書き方を教えてもらえます。\n5.【重要】2024年4月から義務化。3年以内に未申請だと10万円以下の過料の対象になります。\n登記識別情報は紛失すると再発行できません。\n農地も相続登記が必要です（農業委員会届出とは別）。\n複雑な案件は司法書士に依頼してください（1件5〜10万円目安）。,平日 8:30-17:15,,,全不動産の相続登記が完了し、登記識別情報通知を受領済み。,Q.自分でできる？→単純な案件なら可能です。法務局の「登記手続案内」（予約制）で無料相談できます\nQ.司法書士の費用は？→1件5〜10万円程度です\nQ.農地も登記が必要？→はい。農業委員会への届出とは別に登記も必要です
RN-D7-30,故人が会社員だった場合、会社の健康保険(協会けんぽ・組合健保)の資格喪失届を勤務先経由で5日以内に提出する,国民健康保険(14日)より短い5日が法定期限です。被扶養者がいた場合は同時に国保切替が必要になります。,故人の勤務先(健康保険組合・協会けんぽ),故人と扶養者全員の健康保険証,1. 故人の勤務先(人事・総務)に死亡を連絡する\n2. 健康保険証を本人・扶養者全員分 集めて勤務先へ返却する\n3. 5日以内に勤務先が資格喪失届を提出する\n4. 被扶養者がいた場合は別途 国民健康保険への切替を行う(RN-D14-23),1. 「死亡したため健康保険の資格喪失手続きをお願いします」と伝えれば 通常は人事部が対応してくれます。\n2. 葬儀で時間が取れない場合 まず電話連絡だけして 保険証は後日郵送でも受け付ける勤務先が多いです。\n3. 法定期限は5日ですが 勤務先の対応スピードに依存するため 早めの連絡が安心です。\n4. 扶養に入っていた家族(配偶者・子)は 健康保険証が使えなくなるため 速やかに国保切替が必要です(無保険期間ができないように)。,平日 9-17時 (勤務先による),,,健康保険証を返却し、勤務先から資格喪失証明書を受領済み。,Q.葬儀で忙しい→電話連絡だけ先に。書類は後日でOKな勤務先が多い\nQ.扶養家族の保険は？→国保切替が必要(RN-D14-23参照)\nQ.5日を過ぎたら？→法定期限ですが 数日遅れても勤務先が処理してくれることが多い
RN-D7-31,故人が亡くなる時点で失業給付を受給していた場合、雇用保険受給資格者証をハローワークに1か月以内に返還する,返還しないまま放置すると過払いを請求される可能性があります。受給は本人死亡時点でストップします。,故人が手続きしていたハローワーク,雇用保険受給資格者証/死亡を証明する書類,1. ハローワークに電話して死亡を連絡する\n2. 受給資格者証と死亡を証明する書類(住民票除票等)を持参する\n3. 1か月以内に返還する\n4. 未支給分があれば「未支給失業給付請求書」を遺族が請求する,1. 「失業給付受給中の家族が亡くなりました」と伝えれば 必要書類を案内してもらえます。\n2. 故人の住所地のハローワークが原則です。\n3. 返還が遅れると過払い請求される可能性があります。\n4. 死亡日までに発生した未支給分は 生計同一の遺族が請求できます。請求期限は6か月以内のため早めに。,平日 8:30-17:15,各ハローワーク,各ハローワーク,雇用保険受給資格者証を返還し、未支給分を請求済み。,Q.受給していたか不明→ハローワークに電話で確認できます\nQ.未支給分はいくら？→死亡日までの未払い分。直近振込日からの日数で計算\nQ.遠方のハローワーク→電話で郵送可能か確認してください
RN-D14-40,故人が国民年金第1号被保険者で老齢年金を受け取らずに亡くなり、配偶者(妻)がいる場合、寡婦年金を年金事務所に請求できる,知られていない給付の代表格です。条件に合えば60歳〜65歳まで年6万円程度を受給できます。\n【受給要件】(1)故人が国民年金第1号として保険料10年以上納付、(2)婚姻10年以上（事実婚も含む）、(3)妻が60歳〜65歳。請求しないともらえません。,最寄りの年金事務所,年金手帳/戸籍謄本/住民票/印鑑/振込先口座情報,1. 年金事務所に電話で受給可否を確認する\n2. 「寡婦年金請求書」を取り寄せる\n3. 戸籍・住民票・口座情報を揃える\n4. 年金事務所に提出する\n5. 受給開始は60歳から(60歳以上ならすぐ),1.【受給条件】故人=国民年金第1号10年以上+老齢年金未受給で死亡 / 妻=婚姻10年以上 / 妻が60〜65歳 のすべてを満たすこと。\n2. 寡婦年金は妻のみが対象(寡夫年金はありません)。\n3. 必要書類は窓口で詳しく案内してもらえます。\n4. 死亡一時金(RN-D14-41)とは選択制。両方は受給できないため有利な方を選んでください。\n5. 請求期限は2年です。早めに確認することをおすすめします。,平日 8:30-17:15,各年金事務所,ねんきんダイヤル 0570-05-1165,寡婦年金の受給可否を年金事務所で確認した。受給可能な場合は請求書を提出済み。,Q.条件に合うか不明→年金事務所に電話で照会できます\nQ.金額は？→老齢基礎年金の3/4(年45-60万程度)\nQ.死亡一時金とどっち？→受給期間で計算 通常は寡婦年金が有利
RN-D14-41,故人が国民年金第1号被保険者で年金を受け取らずに亡くなり、配偶者・子・父母などの遺族がいる場合、死亡一時金を年金事務所に請求できる,知られていない給付の代表格です。請求しないと貰えません。納付月数により12-32万円が支給されます。\n【受給要件】故人が国民年金第1号として保険料を36か月以上納付し、年金を受け取らずに亡くなった場合（会社員経験があっても第1号期間が36か月以上あれば対象）。,最寄りの年金事務所,年金手帳/戸籍謄本/住民票(世帯全員)/印鑑/振込先口座情報,1. 年金事務所に電話で受給可否を確認する\n2. 「死亡一時金請求書」を取り寄せる\n3. 必要書類を揃える\n4. 年金事務所に提出する\n5. 通常1-2か月で振り込まれる,1.【受給条件】故人が国民年金保険料を36月以上納付かつ老齢年金・障害基礎年金を受給せず死亡。受給優先順位:配偶者→子→父母→孫→祖父母→兄弟姉妹。\n2. 必要書類は窓口で案内されます。\n3. 寡婦年金(RN-D14-40)とは選択制。両方は受給できないため有利な方を選んでください。\n4. 請求期限は2年です。早めに確認することをおすすめします。\n5. —,平日 8:30-17:15,各年金事務所,ねんきんダイヤル 0570-05-1165,死亡一時金の受給可否を年金事務所で確認した。受給可能な場合は請求書を提出済み。,Q.いくら？→納付月数により12〜32万円(36月以上で12万 420月以上で32万)\nQ.寡婦年金とどっち？→年金事務所で試算してもらい有利な方を選ぶ\nQ.付加保険料納付者→上乗せ8500円
